@relation ellipsoid.50d10c.1

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute F35 numeric
@attribute F36 numeric
@attribute F37 numeric
@attribute F38 numeric
@attribute F39 numeric
@attribute F40 numeric
@attribute F41 numeric
@attribute F42 numeric
@attribute F43 numeric
@attribute F44 numeric
@attribute F45 numeric
@attribute F46 numeric
@attribute F47 numeric
@attribute F48 numeric
@attribute F49 numeric
@attribute F50 numeric
@attribute class{Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10}

@data
0.037474,0.013884,0.042503,-0.083575,0.17884,-0.054661,-0.001283,-0.009059,0.047969,0.017642,0.009004,0.049347,0.037107,-0.007446,-0.018689,-0.020892,0.05196,0.014589,-0.028513,-0.076725,0.005018,0.076148,0.049784,-0.040943,0.049681,-0.006725,-0.019373,-0.031029,-0.020834,-0.098704,-0.060367,-0.02069,0.059177,-0.102355,0.070147,-0.030281,-0.041296,0.009272,-0.070355,-0.01185,0.09132,0.083872,0.02322,0.026059,0.043135,0.055504,-0.008309,0.005133,-0.044539,-0.005034,Cluster1
0.064471,0.026428,0.023881,-0.07821,0.130109,-0.046882,0.012251,0.003533,0.023987,0.004774,-0.007596,0.012832,-0.017095,-0.022724,-0.028254,0.004756,0.032745,0.021056,-0.011256,-0.062032,0.000343,0.012585,0.053551,-0.020521,0.028286,-0.019796,0.040409,-0.01096,-0.022657,-0.085365,-0.095197,0.011112,0.042851,-0.027966,0.046783,-0.039017,-0.05277,-0.005222,-0.059166,-0.019287,0.043037,0.05176,0.035633,-0.023204,0.041469,0.061974,0.026851,0.02402,-0.000617,-0.016803,Cluster1
0.080294,0.031021,0.019328,-0.070832,0.166882,-0.059512,0.050797,0.029723,0.024211,0.008031,-0.024391,0.049353,0.023116,-0.026096,-0.018529,-0.011287,0.062497,0.019532,-0.007515,-0.070962,-0.012951,0.026747,0.034663,-0.041477,0.048876,-0.011235,0.050678,-0.045651,-0.015198,-0.073194,-0.096696,-0.01946,0.021014,-0.054638,0.022144,-0.04124,-0.046237,0.009079,-0.08114,-0.003619,0.081897,0.049035,0.061548,-0.002787,0.03716,0.055221,0.02584,0.008763,-0.036814,0.008805,Cluster1
0.060246,0.009463,0.045927,-0.102381,0.148268,-0.080657,0.034724,0.005364,0.031762,0.007611,-0.011862,0.046479,0.016098,-0.051024,-0.020565,-0.039809,0.065824,0.01202,-0.009248,-0.108902,-0.017051,0.059007,0.070527,-0.022616,0.066462,-0.016461,-0.003435,-0.054162,-0.049741,-0.089148,-0.081323,-0.031539,0.072546,-0.11326,0.049204,-0.026317,-0.04755,-0.004481,-0.101165,-0.036378,0.098712,0.062141,0.043586,0.03753,0.045149,0.043171,0.013313,0.033138,-0.055186,0.009951,Cluster1
0.071559,-0.043297,0.080233,-0.098768,0.246762,-0.145038,0.06278,0.021112,0.074093,-0.002073,-0.0738,0.149394,0.118031,-0.045391,-0.023507,-0.111925,0.15994,-0.057365,-0.004479,-0.204848,0.008041,0.133112,0.067331,-0.066862,0.197737,-0.004491,-0.123252,-0.115938,-0.105018,-0.121843,-0.098413,-0.143987,0.155865,-0.236397,0.08617,-0.01346,-0.039024,0.069626,-0.214759,-0.04814,0.236864,0.0838,-0.016712,0.195054,0.051738,0.061981,-0.073137,0.074142,-0.179265,0.076025,Cluster1
0.068803,0.001396,0.017685,-0.081094,0.14193,-0.08034,0.009551,0.016636,0.025476,0.014027,-0.024434,0.059993,0.008295,-0.03914,-0.020843,-0.032032,0.0695,0.024879,-0.008802,-0.084147,0.011891,0.035491,0.061822,-0.036703,0.063893,-0.008676,-0.006486,-0.027835,-0.02963,-0.092804,-0.088348,-0.003188,0.059295,-0.093195,0.064079,-0.043169,-0.03973,-0.000719,-0.095217,-0.043003,0.077195,0.090649,0.030699,0.009512,0.052631,0.051797,0.034576,0.024129,-0.061919,-0.005138,Cluster1
0.081381,0.004991,0.046809,-0.089633,0.172917,-0.087308,0.026989,0.002984,0.041336,0.008095,-0.027782,0.051063,0.034478,-0.035297,-0.029429,-0.027808,0.100179,-0.000041,-0.016294,-0.105734,0.002916,0.052431,0.055526,-0.033023,0.088663,-0.008731,-0.020105,-0.054211,-0.05663,-0.097426,-0.094851,-0.036405,0.065213,-0.110582,0.067888,-0.026156,-0.057222,0.027087,-0.113726,-0.025893,0.122577,0.072373,0.025546,0.052052,0.049511,0.059689,-0.01513,0.048243,-0.063963,0.021332,Cluster1
0.080123,-0.040478,0.046778,-0.083051,0.201994,-0.131414,0.037394,0.011382,0.049667,-0.002692,-0.040451,0.107398,0.093536,-0.037196,-0.012763,-0.087785,0.119663,-0.022895,0.002993,-0.153278,0.000866,0.109512,0.062326,-0.05695,0.14635,-0.009105,-0.074048,-0.07401,-0.102117,-0.107854,-0.090638,-0.090317,0.125598,-0.19762,0.075323,-0.025127,-0.050534,0.062571,-0.161619,-0.041553,0.180129,0.087484,-0.010045,0.114639,0.048449,0.060655,-0.050235,0.067456,-0.116796,0.044935,Cluster1
0.07854,0.039799,0.01877,-0.048442,0.143011,-0.043103,0.02005,0.028693,0.010667,0.016315,0.029651,0.010434,-0.026568,-0.019181,-0.036071,0.020975,0.038669,0.019749,-0.011253,-0.054929,0.00385,0.003485,0.046631,0.002835,0.001365,-0.018969,0.044327,-0.020624,-0.025522,-0.070623,-0.067733,0.031886,0.025174,-0.028265,0.045147,-0.05425,-0.058419,-0.027599,-0.03977,-0.005318,0.032734,0.054722,0.040315,-0.034997,0.051332,0.037223,0.056156,0.019334,0.004229,-0.018188,Cluster1
0.06173,-0.011969,0.041452,-0.088226,0.155556,-0.093816,0.043816,0.008709,0.014367,0.005458,-0.006528,0.055884,0.03705,-0.017769,-0.041105,-0.043054,0.08205,0.023488,0.00351,-0.103323,0.011098,0.042513,0.049775,-0.039637,0.089757,-0.014052,-0.033174,-0.048982,-0.058,-0.104485,-0.094101,-0.032415,0.083783,-0.111992,0.042396,-0.020721,-0.040505,0.022994,-0.104712,-0.03589,0.11653,0.05132,0.006208,0.042045,0.045321,0.048226,0.014313,0.029479,-0.0412,0.011938,Cluster1
