@relation ellipsoid.50d4c.1

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute F35 numeric
@attribute F36 numeric
@attribute F37 numeric
@attribute F38 numeric
@attribute F39 numeric
@attribute F40 numeric
@attribute F41 numeric
@attribute F42 numeric
@attribute F43 numeric
@attribute F44 numeric
@attribute F45 numeric
@attribute F46 numeric
@attribute F47 numeric
@attribute F48 numeric
@attribute F49 numeric
@attribute F50 numeric
@attribute class{Cluster1,Cluster2,Cluster3,Cluster4}

@data
-0.088002,0.000613,-0.046767,0.023742,-0.041761,-0.016208,-0.045976,0.014912,-0.015951,0.082645,-0.023755,0.065299,-0.00781,0.062177,0.003764,-0.012592,-0.011832,0.044171,0.011043,-0.04019,0.00941,0.004034,0.022318,-0.00464,0.007247,-0.00322,-0.00971,0.059074,-0.027375,-0.011327,-0.07583,0.001145,0.041339,0.002558,0.045058,-0.035007,-0.024513,0.011066,-0.029277,0.029141,0.025643,-0.074782,0.013942,-0.033346,-0.03053,-0.008465,-0.044854,0.051209,0.010059,-0.026256,Cluster1
-0.215724,0.006471,-0.044702,-0.017569,-0.0502,-0.142233,0.038053,-0.025708,0.056654,0.162294,-0.162457,0.033592,-0.023094,0.064998,0.080309,-0.064205,0.019849,0.052288,0.095795,0.01229,0.039471,-0.13049,0.002953,0.112436,0.064319,0.016661,-0.01447,0.023861,0.021746,-0.034002,-0.118795,-0.035059,0.06521,-0.050115,0.125615,-0.060889,0.039785,0.007049,-0.076333,0.114864,-0.011571,-0.011287,0.034937,-0.110565,-0.04477,0.009192,-0.062304,-0.007983,-0.091004,-0.037285,Cluster1
-0.171221,0.00247,-0.060239,-0.000769,-0.043991,-0.097074,0.023062,-0.002875,0.013169,0.145024,-0.111435,0.053967,-0.004879,0.059687,0.046511,-0.019265,0.005883,0.056116,0.05914,-0.010478,0.025175,-0.082975,0.022654,0.060416,0.05747,-0.012353,-0.017634,0.043513,0.012815,-0.025577,-0.093768,-0.018733,0.081525,-0.032716,0.086493,-0.043855,0.027217,-0.000947,-0.057309,0.091619,-0.005117,-0.050722,0.028026,-0.098939,-0.037434,0.00884,-0.05502,0.023459,-0.059883,-0.029545,Cluster1
-0.250337,0.015018,-0.071765,-0.035818,-0.047455,-0.173581,0.075831,-0.030667,0.050539,0.218279,-0.19708,0.068447,-0.014949,0.063094,0.099966,-0.033055,0.02672,0.070581,0.083316,0.017345,0.051165,-0.17608,0.012008,0.131023,0.108715,-0.035028,-0.011603,0.017089,0.050469,-0.028941,-0.093915,-0.054617,0.118351,-0.078859,0.139335,-0.082114,0.061134,-0.005676,-0.09477,0.135473,-0.030443,-0.018987,0.050718,-0.15184,-0.041629,0.023153,-0.052086,-0.021297,-0.121779,-0.040349,Cluster1
-0.294262,0.007105,-0.077813,-0.043901,-0.05956,-0.20888,0.119677,-0.041353,0.067948,0.251043,-0.227883,0.04418,0.001006,0.076381,0.107429,-0.047167,0.038349,0.070584,0.101879,0.010474,0.057829,-0.228357,0.027937,0.14581,0.132119,-0.037407,-0.016455,0.025779,0.06459,-0.036764,-0.115629,-0.065134,0.132202,-0.097979,0.172211,-0.073187,0.085224,-0.015319,-0.095815,0.166443,-0.056114,-0.016241,0.050999,-0.194706,-0.063266,0.021849,-0.071165,-0.032972,-0.162017,-0.039442,Cluster1
-0.177037,-0.004766,-0.064576,-0.00083,-0.046962,-0.102824,0.028175,-0.001857,0.013476,0.140562,-0.11175,0.058051,-0.008556,0.061302,0.052061,-0.02185,0.007063,0.057126,0.061774,-0.007993,0.025717,-0.085174,0.021758,0.058996,0.063352,-0.017966,-0.012781,0.039213,0.014651,-0.028781,-0.09643,-0.018464,0.080558,-0.037984,0.087545,-0.042166,0.025788,-0.002199,-0.058683,0.09493,-0.007463,-0.049139,0.025962,-0.100327,-0.032321,0.010282,-0.054729,0.020322,-0.060164,-0.032722,Cluster1
-0.190118,0.000952,-0.073695,-0.00505,-0.046843,-0.11314,0.031622,-0.008399,0.013552,0.150103,-0.138173,0.048698,-0.005822,0.062797,0.0528,-0.030619,0.006492,0.060762,0.060972,-0.014169,0.029031,-0.097992,0.028987,0.073244,0.070386,-0.024374,-0.00989,0.034288,0.023922,-0.023932,-0.096829,-0.018189,0.08592,-0.047373,0.115026,-0.045293,0.034563,-0.000256,-0.060651,0.113142,-0.013166,-0.056257,0.035696,-0.106236,-0.05073,0.004507,-0.050267,0.02014,-0.073997,-0.023013,Cluster1
-0.168283,0.007811,-0.061685,-0.006774,-0.041006,-0.099257,0.024661,0.000402,0.012524,0.136126,-0.118844,0.060224,0.014024,0.061454,0.055387,-0.025176,0.015745,0.047077,0.052999,-0.008499,0.001496,-0.078423,0.016854,0.042558,0.04879,-0.021835,-0.018993,0.046275,0.007722,-0.013191,-0.104493,-0.029106,0.08404,-0.032649,0.098865,-0.049965,0.018073,-0.028223,-0.05645,0.111486,-0.023004,-0.044452,0.021573,-0.110533,-0.034418,0.004524,-0.047355,0.028083,-0.054753,-0.035009,Cluster1
-0.154535,-0.009753,-0.048075,-0.014499,-0.046365,-0.092125,0.009069,0.018012,0.018332,0.136938,-0.099514,0.041798,-0.000417,0.055267,0.045214,-0.018571,-0.007198,0.044138,0.033211,0.007501,0.006348,-0.035934,0.023117,0.03976,0.039703,-0.011725,0.013218,0.041501,-0.005808,-0.03646,-0.095917,-0.032215,0.070508,-0.032542,0.084254,-0.035775,0.030037,0.004377,-0.039551,0.089273,-0.00293,-0.040599,0.011423,-0.081856,-0.022982,0.007496,-0.064831,0.024956,-0.057714,-0.023313,Cluster1
-0.095128,-0.002704,-0.049551,0.023666,-0.03501,-0.034429,-0.038064,0.021974,-0.017753,0.071168,-0.032888,0.060292,-0.010216,0.052564,0.003869,-0.005853,-0.015572,0.049464,0.030537,-0.019407,-0.001589,0.009171,0.020294,-0.000972,0.018219,0.001088,-0.015185,0.053989,-0.023398,-0.019186,-0.079114,0.011416,0.047572,0.002678,0.032594,-0.024079,-0.017811,0.007319,-0.027799,0.04471,0.023582,-0.07046,0.014804,-0.038479,-0.014964,-0.003598,-0.041795,0.058882,0.003981,-0.02007,Cluster1
