@relation monks-3

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute class {0,1}

@data
1,1,1,1,1,1,1
1,1,1,1,1,2,1
1,1,1,1,2,1,1
1,1,1,1,2,2,1
1,1,1,1,3,1,1
1,1,1,1,3,2,1
1,1,1,1,4,1,0
1,1,1,1,4,2,0
1,1,1,2,1,1,1
1,1,1,2,1,2,1
1,1,1,2,2,1,1
1,1,1,2,2,2,1
1,1,1,2,3,1,1
1,1,1,2,3,2,1
1,1,1,2,4,1,0
1,1,1,2,4,2,0
1,1,1,3,1,1,1
1,1,1,3,1,2,1
1,1,1,3,2,1,1
1,1,1,3,2,2,1
1,1,1,3,3,1,1
1,1,1,3,3,2,1
1,1,1,3,4,1,0
1,1,1,3,4,2,0
1,1,2,1,1,1,1
1,1,2,1,1,2,1
1,1,2,1,2,1,1
1,1,2,1,2,2,1
1,1,2,1,3,1,1
1,1,2,1,3,2,1
1,1,2,1,4,1,0
1,1,2,1,4,2,0
1,1,2,2,1,1,1
1,1,2,2,1,2,1
1,1,2,2,2,1,1
1,1,2,2,2,2,1
1,1,2,2,3,1,1
1,1,2,2,3,2,1
1,1,2,2,4,1,0
1,1,2,2,4,2,0
1,1,2,3,1,1,1
1,1,2,3,1,2,1
1,1,2,3,2,1,1
1,1,2,3,2,2,1
1,1,2,3,3,1,1
1,1,2,3,3,2,1
1,1,2,3,4,1,0
1,1,2,3,4,2,0
1,2,1,1,1,1,1
1,2,1,1,1,2,1
1,2,1,1,2,1,1
1,2,1,1,2,2,1
1,2,1,1,3,1,1
1,2,1,1,3,2,1
1,2,1,1,4,1,0
1,2,1,1,4,2,0
1,2,1,2,1,1,1
1,2,1,2,1,2,1
1,2,1,2,2,1,1
1,2,1,2,2,2,1
1,2,1,2,3,1,1
1,2,1,2,3,2,1
1,2,1,2,4,1,0
1,2,1,2,4,2,0
1,2,1,3,1,1,1
1,2,1,3,1,2,1
1,2,1,3,2,1,1
1,2,1,3,2,2,1
1,2,1,3,3,1,1
1,2,1,3,3,2,1
1,2,1,3,4,1,0
1,2,1,3,4,2,0
1,2,2,1,1,1,1
1,2,2,1,1,2,1
1,2,2,1,2,1,1
1,2,2,1,2,2,1
1,2,2,1,3,1,1
1,2,2,1,3,2,1
1,2,2,1,4,1,0
1,2,2,1,4,2,0
1,2,2,2,1,1,1
1,2,2,2,1,2,1
1,2,2,2,2,1,1
1,2,2,2,2,2,1
1,2,2,2,3,1,1
1,2,2,2,3,2,1
1,2,2,2,4,1,0
1,2,2,2,4,2,0
1,2,2,3,1,1,1
1,2,2,3,1,2,1
1,2,2,3,2,1,1
1,2,2,3,2,2,1
1,2,2,3,3,1,1
1,2,2,3,3,2,1
1,2,2,3,4,1,0
1,2,2,3,4,2,0
1,3,1,1,1,1,0
1,3,1,1,1,2,0
1,3,1,1,2,1,0
1,3,1,1,2,2,0
1,3,1,1,3,1,1
1,3,1,1,3,2,1
1,3,1,1,4,1,0
1,3,1,1,4,2,0
1,3,1,2,1,1,0
1,3,1,2,1,2,0
1,3,1,2,2,1,0
1,3,1,2,2,2,0
1,3,1,2,3,1,0
1,3,1,2,3,2,0
1,3,1,2,4,1,0
1,3,1,2,4,2,0
1,3,1,3,1,1,0
1,3,1,3,1,2,0
1,3,1,3,2,1,0
1,3,1,3,2,2,0
1,3,1,3,3,1,0
1,3,1,3,3,2,0
1,3,1,3,4,1,0
1,3,1,3,4,2,0
1,3,2,1,1,1,0
1,3,2,1,1,2,0
1,3,2,1,2,1,0
1,3,2,1,2,2,0
1,3,2,1,3,1,1
1,3,2,1,3,2,1
1,3,2,1,4,1,0
1,3,2,1,4,2,0
1,3,2,2,1,1,0
1,3,2,2,1,2,0
1,3,2,2,2,1,0
1,3,2,2,2,2,0
1,3,2,2,3,1,0
1,3,2,2,3,2,0
1,3,2,2,4,1,0
1,3,2,2,4,2,0
1,3,2,3,1,1,0
1,3,2,3,1,2,0
1,3,2,3,2,1,0
1,3,2,3,2,2,0
1,3,2,3,3,1,0
1,3,2,3,3,2,0
1,3,2,3,4,1,0
1,3,2,3,4,2,0
2,1,1,1,1,1,1
2,1,1,1,1,2,1
2,1,1,1,2,1,1
2,1,1,1,2,2,1
2,1,1,1,3,1,1
2,1,1,1,3,2,1
2,1,1,1,4,1,0
2,1,1,1,4,2,0
2,1,1,2,1,1,1
2,1,1,2,1,2,1
2,1,1,2,2,1,1
2,1,1,2,2,2,1
2,1,1,2,3,1,1
2,1,1,2,3,2,1
2,1,1,2,4,1,0
2,1,1,2,4,2,0
2,1,1,3,1,1,1
2,1,1,3,1,2,1
2,1,1,3,2,1,1
2,1,1,3,2,2,1
2,1,1,3,3,1,1
2,1,1,3,3,2,1
2,1,1,3,4,1,0
2,1,1,3,4,2,0
2,1,2,1,1,1,1
2,1,2,1,1,2,1
2,1,2,1,2,1,1
2,1,2,1,2,2,1
2,1,2,1,3,1,1
2,1,2,1,3,2,1
2,1,2,1,4,1,0
2,1,2,1,4,2,0
2,1,2,2,1,1,1
2,1,2,2,1,2,1
2,1,2,2,2,1,1
2,1,2,2,2,2,1
2,1,2,2,3,1,1
2,1,2,2,3,2,1
2,1,2,2,4,1,0
2,1,2,2,4,2,0
2,1,2,3,1,1,1
2,1,2,3,1,2,1
2,1,2,3,2,1,1
2,1,2,3,2,2,1
2,1,2,3,3,1,1
2,1,2,3,3,2,1
2,1,2,3,4,1,0
2,1,2,3,4,2,0
2,2,1,1,1,1,1
2,2,1,1,1,2,1
2,2,1,1,2,1,1
2,2,1,1,2,2,1
2,2,1,1,3,1,1
2,2,1,1,3,2,1
2,2,1,1,4,1,0
2,2,1,1,4,2,0
2,2,1,2,1,1,1
2,2,1,2,1,2,1
2,2,1,2,2,1,1
2,2,1,2,2,2,1
2,2,1,2,3,1,1
2,2,1,2,3,2,1
2,2,1,2,4,1,0
2,2,1,2,4,2,0
2,2,1,3,1,1,1
2,2,1,3,1,2,1
2,2,1,3,2,1,1
2,2,1,3,2,2,1
2,2,1,3,3,1,1
2,2,1,3,3,2,1
2,2,1,3,4,1,0
2,2,1,3,4,2,0
2,2,2,1,1,1,1
2,2,2,1,1,2,1
2,2,2,1,2,1,1
2,2,2,1,2,2,1
2,2,2,1,3,1,1
2,2,2,1,3,2,1
2,2,2,1,4,1,0
2,2,2,1,4,2,0
2,2,2,2,1,1,1
2,2,2,2,1,2,1
2,2,2,2,2,1,1
2,2,2,2,2,2,1
2,2,2,2,3,1,1
2,2,2,2,3,2,1
2,2,2,2,4,1,0
2,2,2,2,4,2,0
2,2,2,3,1,1,1
2,2,2,3,1,2,1
2,2,2,3,2,1,1
2,2,2,3,2,2,1
2,2,2,3,3,1,1
2,2,2,3,3,2,1
2,2,2,3,4,1,0
2,2,2,3,4,2,0
2,3,1,1,1,1,0
2,3,1,1,1,2,0
2,3,1,1,2,1,0
2,3,1,1,2,2,0
2,3,1,1,3,1,1
2,3,1,1,3,2,1
2,3,1,1,4,1,0
2,3,1,1,4,2,0
2,3,1,2,1,1,0
2,3,1,2,1,2,0
2,3,1,2,2,1,0
2,3,1,2,2,2,0
2,3,1,2,3,1,0
2,3,1,2,3,2,0
2,3,1,2,4,1,0
2,3,1,2,4,2,0
2,3,1,3,1,1,0
2,3,1,3,1,2,0
2,3,1,3,2,1,0
2,3,1,3,2,2,0
2,3,1,3,3,1,0
2,3,1,3,3,2,0
2,3,1,3,4,1,0
2,3,1,3,4,2,0
2,3,2,1,1,1,0
2,3,2,1,1,2,0
2,3,2,1,2,1,0
2,3,2,1,2,2,0
2,3,2,1,3,1,1
2,3,2,1,3,2,1
2,3,2,1,4,1,0
2,3,2,1,4,2,0
2,3,2,2,1,1,0
2,3,2,2,1,2,0
2,3,2,2,2,1,0
2,3,2,2,2,2,0
2,3,2,2,3,1,0
2,3,2,2,3,2,0
2,3,2,2,4,1,0
2,3,2,2,4,2,0
2,3,2,3,1,1,0
2,3,2,3,1,2,0
2,3,2,3,2,1,0
2,3,2,3,2,2,0
2,3,2,3,3,1,0
2,3,2,3,3,2,0
2,3,2,3,4,1,0
2,3,2,3,4,2,0
3,1,1,1,1,1,1
3,1,1,1,1,2,1
3,1,1,1,2,1,1
3,1,1,1,2,2,1
3,1,1,1,3,1,1
3,1,1,1,3,2,1
3,1,1,1,4,1,0
3,1,1,1,4,2,0
3,1,1,2,1,1,1
3,1,1,2,1,2,1
3,1,1,2,2,1,1
3,1,1,2,2,2,1
3,1,1,2,3,1,1
3,1,1,2,3,2,1
3,1,1,2,4,1,0
3,1,1,2,4,2,0
3,1,1,3,1,1,1
3,1,1,3,1,2,1
3,1,1,3,2,1,1
3,1,1,3,2,2,1
3,1,1,3,3,1,1
3,1,1,3,3,2,1
3,1,1,3,4,1,0
3,1,1,3,4,2,0
3,1,2,1,1,1,1
3,1,2,1,1,2,1
3,1,2,1,2,1,1
3,1,2,1,2,2,1
3,1,2,1,3,1,1
3,1,2,1,3,2,1
3,1,2,1,4,1,0
3,1,2,1,4,2,0
3,1,2,2,1,1,1
3,1,2,2,1,2,1
3,1,2,2,2,1,1
3,1,2,2,2,2,1
3,1,2,2,3,1,1
3,1,2,2,3,2,1
3,1,2,2,4,1,0
3,1,2,2,4,2,0
3,1,2,3,1,1,1
3,1,2,3,1,2,1
3,1,2,3,2,1,1
3,1,2,3,2,2,1
3,1,2,3,3,1,1
3,1,2,3,3,2,1
3,1,2,3,4,1,0
3,1,2,3,4,2,0
3,2,1,1,1,1,1
3,2,1,1,1,2,1
3,2,1,1,2,1,1
3,2,1,1,2,2,1
3,2,1,1,3,1,1
3,2,1,1,3,2,1
3,2,1,1,4,1,0
3,2,1,1,4,2,0
3,2,1,2,1,1,1
3,2,1,2,1,2,1
3,2,1,2,2,1,1
3,2,1,2,2,2,1
3,2,1,2,3,1,1
3,2,1,2,3,2,1
3,2,1,2,4,1,0
3,2,1,2,4,2,0
3,2,1,3,1,1,1
3,2,1,3,1,2,1
3,2,1,3,2,1,1
3,2,1,3,2,2,1
3,2,1,3,3,1,1
3,2,1,3,3,2,1
3,2,1,3,4,1,0
3,2,1,3,4,2,0
3,2,2,1,1,1,1
3,2,2,1,1,2,1
3,2,2,1,2,1,1
3,2,2,1,2,2,1
3,2,2,1,3,1,1
3,2,2,1,3,2,1
3,2,2,1,4,1,0
3,2,2,1,4,2,0
3,2,2,2,1,1,1
3,2,2,2,1,2,1
3,2,2,2,2,1,1
3,2,2,2,2,2,1
3,2,2,2,3,1,1
3,2,2,2,3,2,1
3,2,2,2,4,1,0
3,2,2,2,4,2,0
3,2,2,3,1,1,1
3,2,2,3,1,2,1
3,2,2,3,2,1,1
3,2,2,3,2,2,1
3,2,2,3,3,1,1
3,2,2,3,3,2,1
3,2,2,3,4,1,0
3,2,2,3,4,2,0
3,3,1,1,1,1,0
3,3,1,1,1,2,0
3,3,1,1,2,1,0
3,3,1,1,2,2,0
3,3,1,1,3,1,1
3,3,1,1,3,2,1
3,3,1,1,4,1,0
3,3,1,1,4,2,0
3,3,1,2,1,1,0
3,3,1,2,1,2,0
3,3,1,2,2,1,0
3,3,1,2,2,2,0
3,3,1,2,3,1,0
3,3,1,2,3,2,0
3,3,1,2,4,1,0
3,3,1,2,4,2,0
3,3,1,3,1,1,0
3,3,1,3,1,2,0
3,3,1,3,2,1,0
3,3,1,3,2,2,0
3,3,1,3,3,1,0
3,3,1,3,3,2,0
3,3,1,3,4,1,0
3,3,1,3,4,2,0
3,3,2,1,1,1,0
3,3,2,1,1,2,0
3,3,2,1,2,1,0
3,3,2,1,2,2,0
3,3,2,1,3,1,1
3,3,2,1,3,2,1
3,3,2,1,4,1,0
3,3,2,1,4,2,0
3,3,2,2,1,1,0
3,3,2,2,1,2,0
3,3,2,2,2,1,0
3,3,2,2,2,2,0
3,3,2,2,3,1,0
3,3,2,2,3,2,0
3,3,2,2,4,1,0
3,3,2,2,4,2,0
3,3,2,3,1,1,0
3,3,2,3,1,2,0
3,3,2,3,2,1,0
3,3,2,3,2,2,0
3,3,2,3,3,1,0
3,3,2,3,3,2,0
3,3,2,3,4,1,0
3,3,2,3,4,2,0
